('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Mandarin Sunset Original Live Resin Cartridge by Bodhi High - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Sherbet Pure Live Resin Cartridge by Bodhi High - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Mac Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Sherbet HCE Cartridge by Canna Organix - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Sherbet Panda Pen by Sticky Frog - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Sherbet Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Sherbert Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Strudel Distillate Cartridge by Crystal Clear - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Sherbet Distillate Cartridge by Crystal Clear - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Sherbert Panda Pen Cartridge by Phat Panda - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Lilac Sunset With CBC Full Spectrum Cartridge by Passion Flower - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Wedding Sunset Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Mandarin Sunset + CBN Distillate Cartridge by Passion Flower - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Sherb Cartridge by Honey Tree - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Sunset Sherbert LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Gelato Sunset Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Valley Orange LR Dabstract 1g AIO - (H)', 'Concentrate for Inhalation', 'Valley Delight Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Valley Orange LR Dabstract 1g AIO - (H)', 'Concentrate for Inhalation', 'Valley Delight x Zweet Insanity Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('Indica - Raspberry Skywalker Panda Pen AIO', 'Concentrate for Inhalation', 'Ultra Pure - Live Resin 510 Vape - Liquid Diamonds - Road Rage OG - Indica - 1mL', 'Vape Cartridge', 'json_dis->db_cart')
('Indica - Raspberry Skywalker Panda Pen AIO', 'Concentrate for Inhalation', 'Pure - Live Resin 510 Vape - Liquid Diamonds - Northern Lights - Indica - 1mL', 'Vape Cartridge', 'json_dis->db_cart')
('Indica - Raspberry Skywalker Panda Pen AIO', 'Concentrate for Inhalation', 'Pure - Live Resin 510 Vape - Liquid Diamonds - Terpee Slurpee - Indica - 1mL', 'Vape Cartridge', 'json_dis->db_cart')
